 ,EUI,data,time,,,,,,,,,,
270,deveui,25.37,2019/10/11 9:20,,,,,,,,,,
271,deveui,25.31,2019/10/11 9:25,,,,,,,,,,
272,deveui,25.25,2019/10/11 9:30,,,,,,,,,,
273,deveui,25.31,2019/10/11 9:35,,,,,,,,,,
274,deveui,25.5,2019/10/11 9:40,,,,,,,,,,
276,deveui,25.5,2019/10/11 9:50,,,,,,,,,,
277,deveui,25.62,2019/10/11 9:55,,,,,,,,,,
278,deveui,25.75,2019/10/11 10:00,,,,,,,,,,
279,deveui,25.81,2019/10/11 10:05,,,,,,,,,,
280,deveui,25.81,2019/10/11 10:10,,,,,,,,,,
281,deveui,25.93,2019/10/11 10:15,,,,,,,,,,
283,deveui,26,2019/10/11 10:25,,,,,,,,,,
284,deveui,26.06,2019/10/11 10:30,,,,,,,,,,
285,deveui,26.06,2019/10/11 10:35,,,,,,,,,,
286,deveui,26.12,2019/10/11 10:41,,,,,,,,,,
287,deveui,26.12,2019/10/11 10:46,,,,,,,,,,
288,deveui,26.12,2019/10/11 10:51,,,,,,,,,,
289,deveui,26.12,2019/10/11 10:56,,,,,,,,,,
290,deveui,26.12,2019/10/11 11:01,,,,,,,,,,
291,deveui,26.18,2019/10/11 11:06,,,,,,,,,,
292,deveui,26.18,2019/10/11 11:11,,,,,,,,,,
294,deveui,26.12,2019/10/11 11:21,,,,,,,,,,
296,deveui,26.18,2019/10/11 11:31,,,,,,,,,,
297,deveui,26.18,2019/10/11 11:36,,,,,,,,,,
300,deveui,26.31,2019/10/11 11:51,,,,,,,,,,
301,deveui,26.37,2019/10/11 11:56,,,,,,,,,,
302,deveui,26.37,2019/10/11 12:01,,,,,,,,,,
303,deveui,26.37,2019/10/11 12:07,,,,,,,,,,
304,deveui,26.43,2019/10/11 12:12,,,,,,,,,,
305,deveui,26.5,2019/10/11 12:17,,,,,,,,,,
306,deveui,26.43,2019/10/11 12:22,,,,,,,,,,
307,deveui,26.43,2019/10/11 12:27,,,,,,,,,,
308,deveui,26.43,2019/10/11 12:32,,,,,,,,,,
309,deveui,26.5,2019/10/11 12:37,,,,,,,,,,
310,deveui,26.5,2019/10/11 12:42,,,,,,,,,,
311,deveui,26.56,2019/10/11 12:47,,,,,,,,,,
313,deveui,26.56,2019/10/11 12:57,,,,,,,,,,
315,deveui,26.56,2019/10/11 13:07,,,,,,,,,,
